episode,title,abbr,stardate,original_airdate,production_number
5x13,The Masterpiece Society,TNG,45470.1,1992-02-10,40275-213
5x14,Conundrum,TNG,45494.2,1992-02-17,40275-214
5x15,Power Play,TNG,45571.2,1992-02-24,40275-215
5x16,Ethics,TNG,45587.3,1992-03-02,40275-216
5x17,The Outcast,TNG,45614.6,1992-03-16,40275-217
5x18,Cause and Effect,TNG,45652.1,1992-03-23,40275-218
5x19,The First Duty,TNG,45703.9,1992-03-30,40275-219
5x20,Cost of Living,TNG,45733.6,1992-04-20,40275-220
5x21,The Perfect Mate,TNG,45761.3,1992-04-27,40275-221
5x22,Imaginary Friend,TNG,45832.1,1992-05-04,40275-222
5x23,I Borg,TNG,45854.2,1992-05-11,40275-223
5x24,The Next Phase,TNG,45892.4,1992-05-18,40275-224
5x25,The Inner Light,TNG,45944.1,1992-06-01,40275-225
5x26,Time's Arrow,TNG,45959.1,1992-06-15,40275-226
6x01,"Time's Arrow, Part II",TNG,46001.3,1992-09-21,40276-227
6x02,Realm of Fear,TNG,46041.1,1992-09-28,40276-228
6x03,Man of the People,TNG,46071.6,1992-10-05,40276-229
6x04,Relics,TNG,46125.3,1992-10-12,40276-230
6x05,Schisms,TNG,46154.2,1992-10-19,40276-231
6x06,True Q,TNG,46192.3,1992-10-26,40276-232
6x07,Rascals,TNG,46235.7,1992-11-02,40276-233
6x08,A Fistful of Datas,TNG,46271.5,1992-11-07,40276-234
6x09,The Quality of Life,TNG,46307.2,1992-11-14,40276-235
6x10,"Chain of Command, Part I",TNG,46357.4,1992-12-14,40276-236
6x11,"Chain of Command, Part II",TNG,46360.8,1992-12-21,40276-237
6x12,Ship in a Bottle,TNG,46424.1,1993-01-25,40276-238
6x13,Aquiel,TNG,46461.3,1993-02-01,40276-239
6x14,Face of the Enemy,TNG,46519.0,1993-02-08,40276-240
6x15,Tapestry,TNG,Unknown,1993-02-15,40276-241
6x16,"Birthright, Part I",TNG,46578.4,1993-02-22,40276-242
